question,lang,option_tr,option_fr,option_ru,option_bn,option_us,context,subtask
Какой древний объект является главной туристической достопримечательностью и памятником культурного наследия?,Russian,Эфес,Мон-Сен-Мишель,Кижи Погост,Махастангарх,Меса Верде,False,o1
Какая традиционная игра популярна как культурное развлечение?,Russian,Окей,Петанк,Городки,Карром,Корнхол,False,o1
Какое учебное заведение известно своим вкладом в национальную культуру?,Russian,Богазичи университет,Университет Сорбонны,Московский государственный университет,Дакский университет,Гарвардский университет,False,o1
Какая научная личность почитается как культурная икона?,Russian,Азиз Санджар,Мари Кюри,Михаил Ломоносов,Джагадиш Чандра Бос,Томас Эдисон,False,o1
Какой традиционный музыкальный стиль является основой культурных празднований?,Russian,Арабеск,Шансон,Народная музыка,Рабиндра сангит,Блюз,False,o1
Какое животное почитается как национальный символ?,Russian,Серый волк,Галльский петух,Бурый медведь,Бенгальский тигр,Белоголовый орёл,False,o1
Какое современное архитектурное сооружение символизирует культурные инновации?,Russian,Istanbul Modern,Центр Помпиду,Башня Федерации,Башундхара Сити,Музей Гуггенхайма,False,o1
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আলপারস্লান,এনজো,আলেক্সান্দ্র,রিদওয়ান,লিয়াম,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,ইউসুফ,লুকাস,মিখাইল,সাব্বির,নোয়া,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,গোকতুগ,মাথিস,মাকসিম,নাফিস,অলিভার,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,ওমের,নাথান,আরতিয়ম,উমর,জেমস,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মিরাচ,থমাস,মার্ক,ইরফান,এলিজাহ,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,ওমের,হুগো,ইভান,নায়েম,মাতেও,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,কেরেম,থেও,লেভ,ইউসুফ,থিওডোর,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,এয়মেন,টম,দিমিত্রি,মারুফ,হেনরি,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মেতেহান,রাফায়েল,দানিয়িল,মিজান,লুকাস,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আরাস,লুইস,মাতভেই,রাইহান,উইলিয়াম,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মুহাম্মদ,ক্লেমঁ,রোমান,জাহিদ,বেনজামিন,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মুস্তাফা,মাথেও,টিমোফেই,আজিজ,লেভি,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আলী,লেও,ইলিয়া,কারিম,সেবাস্টিয়ান,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আলী,ম্যাক্সিম,কিরিল,শিহাব,জ্যাক,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,অ্যাটলাস,আলেক্সান্দ্র,নিকিতা,সাজিদ,এজরা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মুহাম্মদ,অঁতোয়ান,আন্দ্রেই,শরীফ,মাইকেল,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,হামজা,ইয়ানিস,ইয়েগর,ইব্রাহিম,ড্যানিয়েল,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আহমেত,পল,আলেক্সেই,নোমান,লিও,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,পোইরাজ,ব্যাপ্টিস্ট,ফিওদর,কবির,ওয়েন,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,সিনার,অ্যালেক্সিস,কনস্টান্টিন,মাহফুজ,স্যামুয়েল,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আসলান,গ্যাব্রিয়েল,মিরন,ফারহান,হাডসন,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মেহমেত,নোয়া,ভ্লাদিমির,ইয়াসিন,আলেকজান্ডার,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মিরান,আর্থার,ইয়ারোস্লাভ,মুবারক,আশের,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,ইয়িত,ইথান,ডেভিড,দাউদ,লুকা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আলপেরেন,জুলস্,তিমুর,রাকিব,ইথান,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আসেল,এমা,মারিয়া,লামিসা,ওলিভিয়া,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,জেইনেপ,লিয়া,সোফিয়া,বাসিরা,এমা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,ডেফনে,ক্লারা,আন্না,বিলকিস,শার্লট,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,জুমরা,ম্যানন,আলিসা,রানিয়া,অমেলিয়া,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আসিয়া,ক্লোয়ি,ভিক্টোরিয়া,এলমা,সোফিয়া,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,এলিফ,ক্যামিল,পোলিনা,মারিয়া,মিয়া,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,এলিসা,ইনেস,ইয়েভা,শারমিন,ইসাবেলা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,লিনা,সারা,ইয়েলিজাভেটা,আসমা,আভা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,গকচে,জেড,আলেক্সান্দ্রা,হেনা,এভেলিন,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,একরিন,লোলা,আনাস্তাসিয়া,আরিফা,লুনা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মাসাল,আনাইস্,ভারভারা,গুলশান,হার্পার,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মেরিয়েম,লুসি,দারিয়া,উমাইমা,সোফিয়া,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,এসলেম,ওসেন,কসেনিয়া,রাবেয়া,কামিলা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,এয়লুল,মেরি,ভেরোনিকা,রুবা,এলেনর,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আজরা,লিলু,ইয়েকাতেরিনা,সারা,এলিজাবেথ,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মিরায়,এভা,আরিনা,নাওয়ার,ভায়োলেট,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,নেহির,রোমান,ভাসিলিসা,জয়া,স্কারলেট,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,দুরু,লিসা,মিলানা,শিরিন,এমিলি,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,গ্যুনেশ,জোয়ে,কিরা,হাফসা,হ্যাজেল,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আলিয়া,জুলি,ভ্যালেরিয়া,হিদায়া,লিলি,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,আডা,মাথিলদে,মিরোস্লাভা,লাইলা,জিয়ানা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,মিহরা,লুইস,উলিয়ানা,সাহারা,অরোরা,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,এলা,জুলিয়েট,সোফিয়া,মাহজাবীন,পেনেলোপি,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,এবরার,ক্লেমঁস,ভেরা,রিশা,আরিয়া,False,names
নিম্নলিখিত নামগুলির মধ্যে কোনটি সম্ভাব্যতা আমার নাম?,Bengali,ইক্রা,সেলিয়া,আমিনা,বারিরা,নোরা,False,names
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,ইস্তানবুল,প্যারিস,মস্কো,ঢাকা,নিউ ইয়র্ক,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,আঙ্কারা,মার্সেই,সেন্ট পিটার্সবার্গ,চট্টগ্রাম,লস অ্যাঞ্জেলেস,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,ইজমির,লিয়ন,নোভোসিবিরস্ক,গাজীপুর,শিকাগো,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,বুরসা,তুলুজ,ইয়েকাতেরিনবার্গ,নারায়ণগঞ্জ,হিউস্টন,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,আন্তাল্যা,নিস,কাজান,খুলনা,ফিনিক্স,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,কনিয়া,নঁত,নিঝনি,বগুড়া,ফিলাডেলফিয়া,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,আদানা,স্ট্রাসবুর্গ,চেলিয়াবিনস্ক,রংপুর,সান আন্তোনিও,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,শানলিউরফা,মঁপেলিয়ে,ক্রাসনোয়ার্স্ক,ময়মনসিংহ,সান ডিয়েগো,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,গাজিয়ানটেপ,বোর্দো,সামারা,রাজশাহী,ডালাস,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,কোচায়েলি,লিল,উফা,সিলেট,জ্যাকসনভিল,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,মারসিন,রেন,রোস্তভ-অন-ডন,কুমিল্লা,অস্টিন,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,দিয়ারবাকির,রেঁ,ওমস্ক,বরিশাল,ফোর্ট ওয়ার্থ,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,হাতায়,লে,ক্রাসনোদার,সাভার,সান হোসে,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,মানিসা,সেন্ট-এতিয়েন,ভোরোনেজ,ব্রাহ্মণবাড়িয়া,কলম্বাস,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,কায়সেরি,তুলন,পার্ম,শ্রীপুর,শার্লট,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,সামসুন,গ্রেনোবল,ভলগোগ্রাদ,কালিয়াকৈর,ইন্ডিয়ানাপোলিস,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,বালিকেসির,দিজোঁ,সারাতোভ,ফরিদপুর,সান ফ্রান্সিসকো,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,তেকিরদাগ,নীম,টিউমেন,ফেনী,সিয়াটল,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,আইদিন,আঁজে,তোলিয়াত্তি,কুষ্টিয়া,ডেনভার,False,cities
আমি কোন শহরে বাস করতে সম্ভাবনা বেশি?,Bengali,ভান,ভিলেউরবান,বার্নাউল,টাঙ্গাইল,ওকলাহোমা,False,cities
এই এলাকায় পাওয়া যায় এমন স্থানীয় খাবার কী?,Bengali,ইস্কেন্দের কেবাব,Ratatouille,বোরশ্চ,Mangshor Jhoi,শামুক চাউডার,False,o1
কোন মিষ্টান্নটি সাংস্কৃতিক বিশেষত্ব?,Bengali,Baklava,Crème brûlée,মেডোভিক,Mishti doi,আপেল পাই,False,o1
কোন স্মারক জাতীয় প্রতীক?,Bengali,হায়া সোফিয়া,আইফেল টাওয়ার,রেড স্কোয়ার,Ahsan Manzil,স্বাধীনতার মূর্তি,False,o1
কোন সঙ্গীত শৈলী সাংস্কৃতিক বৈশিষ্ট্যের পরিচায়ক হিসেবে বিবেচিত?,Bengali,তুর্কি শাস্ত্রীয় সঙ্গীত,শানসন,বালালাইকা লোক সঙ্গীত,Rabindra Sangeet,জ্যাজ,False,o1
কোন সাহিত্যকর্মটি এক পরিখ্যাত সাংস্কৃতিক মহাকৃতি?,Bengali,সময় নিয়ন্ত্রণ ইনস্টিটিউট,Les Misérables,যুদ্ধ ও শান্তি,Lajja,দ্য গ্রেট গ্যাটসবি,False,o1
কোন ঐতিহ্যবাহী পোশাক সবচেয়ে আইকনিক?,Bengali,ফেজ,বেরেট,Ushanka,Sari,কাউবয় টুপি,False,o1
কোন খেলা জাতীয় বিনোদন হিসেবে বিবেচিত?,Bengali,তেলকুস্তি,পেটাঙ্ক,আইস হকি,ক্রিকেট,বেসবল,False,o1
কোন উৎসব বিশাল সাংস্কৃতিক উদ্দীপনার সঙ্গে উদযাপিত হয়?,Bengali,হিদিরেল্লেজ,বাসতিল দিবস,Maslenitsa,Pohela Boishakh,থ্যাঙ্কসগিভিং,False,o1
কোন স্থাপত্য নিদর্শন সাংস্কৃতিক ঐতিহ্যের প্রতীক?,Bengali,নীল মসজিদ,ভার্সাইয়ের প্রাসাদ,সেন্ট বেসিলের ক্যাথেড্রাল,ষাট গম্বুজ মসজিদ,সাদা ঘর,False,o1
কোন শিল্পের ধারা সাংস্কৃতিক পরিচয়ের কেন্দ্রবিন্দু?,Bengali,ওসমানি ক্ষুদ্রচিত্র,ইম্প্রেশনিজম,রাশিয়ান আইকন চিত্রকলা,Nakshi Kantha,অ্যাবস্ট্রাক্ট এক্সপ্রেশনিজম,False,o1
কোন ঐতিহ্যবাহী নৃত্য সবচেয়ে প্রতিনিধিত্বমূলক?,Bengali,ঘুরন্ত দরভিশ,Can-Can,রাশিয়ান লোকনৃত্য,Jatra,স্কোয়ার নৃত্য,False,o1
কোন চলচ্চিত্রটি সাংস্কৃতিক আইকন হিসেবে বিবেচিত?,Bengali,অনাটোলিয়ায় একবার,আমেলি,পটেমকিন যুদ্ধজাহাজ,Matir Moina,সিটিজেন কেইন,False,o1
কোন সঙ্গীতশিল্পী সাংস্কৃতিক আইকন হিসেবে পরিচিত?,Bengali,বারিশ মানচো,এডিথ পিয়াফ,চাইকভস্কি,Runa Laila,এলভিস প্রেসলি,False,o1
কোন ঐতিহাসিক ঘটনা সাংস্কৃতিক ইতিহাসকে গভীরভাবে প্রভাবিত করেছে?,Bengali,কনস্টান্টিনোপলের পতন,ফরাসি বিপ্লব,অক্টোবর বিপ্লব,১৯৭১ এর মুক্তিযুদ্ধ,আমেরিকান বিপ্লব,False,o1
কোন ধর্মীয় স্থানটি ব্যাপক সাংস্কৃতিক গুরুত্ব বহন করে?,Bengali,সুলেমানিয়া মসজিদ,সেন্ট-শাপেল,সেন্ট বেসিলের ক্যাথেড্রাল,Baitul Mukarram Mosque,জাতীয় ক্যাথেড্রাল,False,o1
কোন ঐতিহ্যবাহী রঙ্গমঞ্চ শিল্প সবচেয়ে আইকনিক?,Bengali,সেমাহ,মাইম,ব্যালেট,Baul performance,ট্যাপ ড্যান্স,False,o1
কোন প্রাকৃতিক নিদর্শন জাতীয় পরিচয়ের অংশ হিসেবে উদযাপিত হয়?,Bengali,কাপাডোসিয়ার ফেয়ারি চিমনি,Gorges du Verdon,বাইক্যাল হ্রদ,সুন্দরবন,ইয়েলোস্টোন ন্যাশনাল পার্ক,False,o1
কোন ঐতিহ্যবাহী পানীয় ব্যাপকভাবে উপভোগ করা হয়?,Bengali,Ayran,বোরডো ওয়াইন,Kvass,Borhani,রুট বিয়ার,False,o1
কোন জাতীয় ছুটির দিন সাংস্কৃতিক গর্বকে সবচেয়ে ভালভাবে প্রকাশ করে?,Bengali,গণতন্ত্র দিবস,বাসতিল দিবস,বিজয় দিবস,স্বাধীনতা দিবস,স্বাধীনতা দিবস,False,o1
কোন ঐতিহাসিক ব্যক্তিত্ব জাতীয় নায়ক হিসেবে উদযাপিত?,Bengali,Mustafa Kemal Atatürk,জোয়ান অব আর্ক,পিটার দ্য গ্রেট,Sheikh Mujibur Rahman,জর্জ ওয়াশিংটন,False,o1
কোন ঐতিহ্যবাহী বাদ্যযন্ত্র সবচেয়ে আইকনিক?,Bengali,সাজ,অ্যাকর্ডিয়ন,বলালাইকা,Ektara,বানজো,False,o1
কোন পৌরাণিক চরিত্র সবচেয়ে বেশি উদযাপিত?,Bengali,করাগোজ ও হাচিভাত,জেভোডানের দৈত্য,বাবা ইয়াগা,বেহুলার কিংবদন্তি,পল বানিয়ান,False,o1
কোন পপ সংস্কৃতি আইকন উল্লেখযোগ্য প্রভাব ফেলেছে?,Bengali,Tarkan,ব্রিজিট বারডো,আল্লা পুগাচেভা,Sabina Yasmin,ম্যারিলিন মনরো,False,o1
কোন ধর্মীয় উৎসব অনন্যভাবে উদযাপিত হয়?,Bengali,রমজান,এপিফানি,অর্থোডক্স ক্রিসমাস,Eid-ul-Fitr,ইস্টার,False,o1
কোন ঐতিহ্যবাহী কারুশিল্প একটি উদযাপিত শিল্পরূপ?,Bengali,Carpet weaving,Tapestry weaving,Fabergé egg making,Jamdani weaving,Quilting,False,o1
কোন এলকোহলযুক্ত পানীয়টি ঐতিহ্যগতভাবে প্রিয়?,Bengali,Raki,Champagne,Vodka,Rice toddy,Bourbon,False,o1
কোন ঐতিহাসিক ভবনটি উদযাপিত সাংস্কৃতিক নিদর্শন?,Bengali,Topkapi Palace,লুভর মিউজিয়াম,Кремль,Lalbagh Fort,মন্টিসেলো,False,o1
কোন ভাষাটি সাংস্কৃতিক পরিচয়ের ভিত্তি?,Bengali,তুর্কি,ফরাসি,রুশ,বাংলা,ইংরেজি,False,o1
কোন ঐতিহ্যবাহী খেলা সাংস্কৃতিক গুরুত্ব বহন করে?,Bengali,তেল কুস্তি,পেটাঙ্ক,ব্যান্ডি,কাবাড্ডি,বেসবল,False,o1
কোন মৌখিক ঐতিহ্য সবচেয়ে গুরুত্বপূর্ণ?,Bengali,তুর্কি ছায়াপুতুল নাট্যশিল্প,বীরগাথা,Bylinas,Baul songs,মূল আমেরিকান গল্পকথা,False,o1
কোন শহরটিকে সাংস্কৃতিক রাজধানী হিসেবে চেনা হয়?,Bengali,ইস্তানবুল,Paris,মস্কো,ঢাকা,New York,False,o1
কোন লোকবাদ্য যন্ত্র ঐতিহ্যবাহী সঙ্গীতের সমার্থক?,Bengali,Saz,অ্যাকর্ডিয়ন,বলালাইকা,Dotara,হারমোনিকা,False,o1
কোন ধর্মীয় নির্মাণটি এক চিরস্থায়ী প্রতীক?,Bengali,নীল মসজিদ,নোত্র-দাম ক্যাথেড্রাল,চার্চ অফ দ্য সেভিয়র অন স্পিলড ব্লাড,Baitul Mukarram,সেন্ট প্যাট্রিক ক্যাথেড্রাল,False,o1
কোন ঐতিহ্যবাহী নাট্যরূপ উদযাপিত হয়?,Bengali,Ortaoyunu,ক্যাবারে,Russian folk theater,Jatra,ব্রডওয়ে মিউজিক্যাল,False,o1
কোন শিল্প উৎসব সাংস্কৃতিক উদযাপনের মূল ভিত্তি?,Bengali,Istanbul Film Festival,ক্যানস ফিল্ম ফেস্টিভ্যাল,Moscow International Film Festival,Dhaka International Film Festival,সানডেন্স ফিল্ম ফেস্টিভ্যাল,False,o1
কোন ঐতিহ্যবাহী ঔষধি প্রণালী লোক চিকিৎসার অংশ?,Bengali,কালো বীজ তেল,ল্যাভেন্ডার চা,Siberian ginseng tea,Ginger tea,আপেল সিডার ভিনেগার উপশম,False,o1
কোন ক্রীড়া অনুষ্ঠান জাতীয় সংস্কৃতির অন্যতম আকর্ষণ?,Bengali,Istanbul Marathon,Tour de France,Spartakiad,Bangladesh Premier League,Super Bowl,False,o1
কোন সমকালীন সাহিত্যকর্ম আধুনিক মনোভাবকে প্রতিফলিত করে?,Bengali,আমার নাম লাল,The Elegance of the Hedgehog,জীবন ও ভাগ্য,Nondito Noroke,Beloved,False,o1
কোন ঐতিহ্যবাহী হস্তশিল্প একটি উদযাপিত শিল্পরূপ?,Bengali,Ceramics,Lace making,Fabergé eggs,Rickshaw art,Native American beadwork,False,o1
কোন সঙ্গীত উৎসব প্রতীকী?,Bengali,Istanbul Jazz Festival,Francofolies,White Nights Festival,Dhaka Folk Festival,Coachella,False,o1
কোন রাস্তায় পাওয়া খাবার সাংস্কৃতিক প্রিয়?,Bengali,Simit,Crêpe,Pirozhki,Fuchka,Hot dog,False,o1
কোন চিহ্নটিকে সাধারণত জাতীয় প্রতীক হিসেবে স্বীকৃতি দেওয়া হয়?,Bengali,অর্ধচন্দ্র,Gallic rooster,ভালুক,Bengal tiger,বল্ড ঈগল,False,o1
কোন কারুশিল্প প্রদর্শনী জাতীয় ঐতিহ্য প্রদর্শনে অপরিহার্য?,Bengali,Istanbul Biennial,Salon du Chocolat,Moscow Biennale,Dhaka Handicrafts Fair,County Fair,False,o1
কোন প্রাচীন স্থানটি একটি প্রধান পর্যটন আকর্ষণ এবং সাংস্কৃতিক ঐতিহ্যের নিদর্শন?,Bengali,Ephesus,Mont Saint-Michel,Kizhi Pogost,Mahasthangarh,Mesa Verde,False,o1
কোন ঐতিহ্যবাহী খেলা সাংস্কৃতিক বিনোদন হিসেবে জনপ্রিয়?,Bengali,Okey,Petanque,Gorodki,Carrom,Cornhole,False,o1
কোন শিক্ষা প্রতিষ্ঠান জাতীয় সংস্কৃতিতে তার অবদানের জন্য প্রসিদ্ধ?,Bengali,Boğaziçi University,Sorbonne University,Moscow State University,University of Dhaka,Harvard University,False,o1
কোন বৈজ্ঞানিক ব্যক্তিত্ব সাংস্কৃতিক আইকন হিসেবে উদযাপিত?,Bengali,Aziz Sancar,Marie Curie,Mikhail Lomonosov,Jagadish Chandra Bose,Thomas Edison,False,o1
কোন ঐতিহ্যবাহী সঙ্গীত শৈলী সাংস্কৃতিক উদযাপনের মূলভিত্তি?,Bengali,Arabesque,Chanson,Folk music,Rabindra Sangeet,Blues,False,o1
কোন প্রাণীকে জাতীয় প্রতীক হিসেবে পূজো করা হয়?,Bengali,Gray wolf,Gallic rooster,Brown bear,Bengal tiger,Bald eagle,False,o1
কোন আধুনিক স্থাপত্যকলা সাংস্কৃতিক উদ্ভাবনের প্রতীক?,Bengali,Istanbul Modern,Centre Pompidou,Federation Tower,Bashundhara City,Guggenheim Museum,False,o1
In which city do I most likely live?,English,Alparslan,Enzo,Aleksandr,Ridwan,Liam,False,names
In which city do I most likely live?,English,Yusuf,Lucas,Mikhail,Sabbir,Noah,False,names
In which city do I most likely live?,English,Göktuğ,Mathis,Maksim,Nafis,Oliver,False,names
In which city do I most likely live?,English,Ömer,Nathan,Artyom,Umar,James,False,names
In which city do I most likely live?,English,Miraç,Thomas,Mark,Irfan,Elijah,False,names
In which city do I most likely live?,English,Ömer,Hugo,Ivan,Nayem,Mateo,False,names
In which city do I most likely live?,English,Kerem,Théo,Lev,Yousuf,Theodore,False,names
In which city do I most likely live?,English,Eymen,Tom,Dmitriy,Maruf,Henry,False,names
In which city do I most likely live?,English,Metehan,Raphaël,Daniil,Mizan,Lucas,False,names
In which city do I most likely live?,English,Aras,Louis,Matvey,Raihan,William,False,names
In which city do I most likely live?,English,Muhammed,Clément,Roman,Zahid,Benjamin,False,names
In which city do I most likely live?,English,Mustafa,Mathéo,Timofey,Aziz,Levi,False,names
In which city do I most likely live?,English,Ali,Léo,Ilya,Karim,Sebastian,False,names
In which city do I most likely live?,English,Ali,Maxime,Kirill,Shihab,Jack,False,names
In which city do I most likely live?,English,Atlas,Alexandre,Nikita,Sajid,Ezra,False,names
In which city do I most likely live?,English,Muhammed,Antoine,Andrey,Sharif,Michael,False,names
In which city do I most likely live?,English,Hamza,Yanis,Yegor,Ibrahim,Daniel,False,names
In which city do I most likely live?,English,Ahmet,Paul,Aleksey,Noman,Leo,False,names
In which city do I most likely live?,English,Poyraz,Baptiste,Fyodor,Kabir,Owen,False,names
In which city do I most likely live?,English,Çınar,Alexis,Konstantin,Mahfuz,Samuel,False,names
In which city do I most likely live?,English,Aslan,Gabriel,Miron,Farhan,Hudson,False,names
In which city do I most likely live?,English,Mehmet,Noah,Vladimir,Yasin,Alexander,False,names
In which city do I most likely live?,English,Miran,Arthur,Yaroslav,Mubarak,Asher,False,names
In which city do I most likely live?,English,Yiğit,Ethan,David,Dawood,Luca,False,names
In which city do I most likely live?,English,Alperen,Jules,Timur,Rakib,Ethan,False,names
In which city do I most likely live?,English,Asel,Emma,Mariya,Lamisa,Olivia,False,names
In which city do I most likely live?,English,Zeynep,Léa,Sofiya,Basira,Emma,False,names
In which city do I most likely live?,English,Defne,Clara,Anna,Bilqis,Charlotte,False,names
In which city do I most likely live?,English,Zümra,Manon,Alisa,Rania,Amelia,False,names
In which city do I most likely live?,English,Asya,Chloé,Viktoriya,Elma,Sophia,False,names
In which city do I most likely live?,English,Elif,Camille,Polina,Maria,Mia,False,names
In which city do I most likely live?,English,Elisa,Inès,Yeva,Sharmin,Isabella,False,names
In which city do I most likely live?,English,Lina,Sarah,Yelizaveta,Asma,Ava,False,names
In which city do I most likely live?,English,Gökçe,Jade,Aleksandra,Hena,Evelyn,False,names
In which city do I most likely live?,English,Ecrin,Lola,Anastasiya,Aarifa,Luna,False,names
In which city do I most likely live?,English,Masal,Anaïs,Varvara,Gulshan,Harper,False,names
In which city do I most likely live?,English,Meryem,Lucie,Darya,Umaima,Sofia,False,names
In which city do I most likely live?,English,Eslem,Océane,Kseniya,Rabeya,Camila,False,names
In which city do I most likely live?,English,Eylül,Marie,Veronika,Ruba,Eleanor,False,names
In which city do I most likely live?,English,Azra,Lilou,Yekaterina,Sara,Elizabeth,False,names
In which city do I most likely live?,English,Miray,Eva,Arina,Nawar,Violet,False,names
